CLUSTER,2
INPUT,6
HIDDEN1,5
OUTPUT,4
LearningRate,0.25
Convergence,0.01
MaxTraining,10000000
DataDescriptionBegin
Input5,Base Distance For Rake Angle Measurement
Input7,Wheel Diameter
Input8,Profile Angle
Input11,Rake Angle
Input12,Circular Land
Input13,Small Core Diameter
Output0,Wheel Setting Angle
Output1,Minimum Wheel Width
Output2,Wheel Displacement
Output3,Distance Between Axes
DataDescriptionEnd
TrainingSetBegin,Input5,Input7,Input8,Input11,Input12,Input13,Output0,Output1,Output2,Output3,
TD0,0.05997,17.6012,6.92308,0.484615,0.190093,0.576188,1.33246,0.505783,-0.28602,9.05368,
TD1,0.060079,21.1982,6.42857,0.428571,0.170678,0.449906,1.38129,0.428571,-0.833931,10.5963,
TD2,0.060013,20.5902,6.42857,0.428571,0.165782,0.450099,1.39293,0.434516,-0.807195,10.305,
TD3,0.059987,20.3008,6.42857,0.428571,0.163452,0.449984,1.39836,0.437234,-0.794541,10.1661,
TD4,0.059981,20.0258,6.42857,0.428571,0.161238,0.450016,1.40357,0.439858,-0.78249,10.0342,
TD5,0.059975,19.7582,6.42857,0.428571,0.159084,0.450048,1.40857,0.442412,-0.77076,9.9055,
TD6,0.059978,19.5007,6.42857,0.428571,0.157011,0.449992,1.41343,0.444811,-0.75946,9.7816,
TD7,0.059991,19.2528,6.42857,0.428571,0.155015,0.450008,1.41807,0.447062,-0.748721,9.66238,
TD8,0.060051,18.7869,6.42857,0.428571,0.151263,0.450008,1.42693,0.45152,-0.728483,9.43791,
TD9,0.05994,18.565,6.42857,0.428571,0.149477,0.450075,1.43114,0.453513,-0.718834,9.33109,
TD10,0.059988,18.3511,6.42857,0.428571,0.147754,0.450059,1.43521,0.455378,-0.709663,9.22784,
TD11,0.059954,17.9428,6.42857,0.428571,0.144467,0.450014,1.44293,0.459116,-0.691997,9.03077,
TD12,0.060026,17.7505,6.42857,0.428571,0.142918,0.45005,1.44657,0.460912,-0.683722,8.93783,
TD13,0.059955,17.5622,6.42857,0.428571,0.141403,0.449943,1.45014,0.462528,-0.675764,8.84686,
TD14,0.059989,17.207,6.42857,0.428571,0.138543,0.449986,1.45693,0.465641,-0.660571,8.67512,
TD15,0.059953,17.0394,6.42857,0.428571,0.137193,0.449993,1.46021,0.467142,-0.653313,8.59405,
TD16,0.059928,17.8891,6.42857,1.42857,0.298151,0.474955,0.856714,0.439475,-0.307692,9.10763,
TD17,0.060133,17.3461,6.42857,1.42857,0.289101,0.474993,0.869429,0.445794,-0.294883,8.84244,
TD18,0.059978,19.5007,5,1.42857,0.235516,0.474957,1.21479,0.450306,-0.062333,9.98618,
TD19,0.059991,19.2528,5,1.42857,0.232522,0.474965,1.21843,0.452488,-0.05596,9.8625,
TD20,0.060051,18.7869,5,1.42857,0.226895,0.474966,1.22543,0.456512,-0.044169,9.63016,
TD21,0.05994,18.565,5,1.42857,0.224215,0.475037,1.22879,0.458445,-0.038565,9.51943,
TD22,0.059988,18.3511,5,1.42857,0.221631,0.47503,1.232,0.460254,-0.033245,9.41253,
TD23,0.059954,17.9428,5,1.42857,0.2167,0.475007,1.23829,0.463739,-0.023404,9.20861,
TD24,0.060026,17.7505,5,1.42857,0.214378,0.475061,1.24129,0.465342,-0.018722,9.11262,
TD25,0.059955,17.5622,5,1.42857,0.212104,0.474972,1.24421,0.466912,-0.014282,9.01852,
TD26,0.059989,17.207,5,1.42857,0.207814,0.474924,1.24979,0.470075,-0.005819,8.84095,
TD27,0.059953,17.0394,5,1.42857,0.20579,0.474962,1.2525,0.471532,-0.001921,8.75717,
TD28,0.059868,20.8841,6.42857,1.42857,0.522102,0.524887,0.4875,0.300035,-0.346328,10.5426,
TD29,0.05993,19.1266,6.42857,1.42857,0.478164,0.525024,0.573143,0.32547,-0.32547,9.70067,
TD30,0.059958,17.8094,6.42857,1.42857,0.445236,0.525082,0.632357,0.345503,-0.303651,9.06678,
TD31,0.059933,19.0374,5,0.428571,0.22992,0.549969,1.52879,0.414623,-0.052422,9.79292,
TD32,0.06,18.8182,5,0.428571,0.227273,0.55,1.53229,0.417273,-0.044091,9.68348,
TD33,0.059925,18.6067,5,0.428571,0.224719,0.549963,1.53571,0.419775,-0.036255,9.57798,
TD34,0.059953,18.2058,5,0.428571,0.219877,0.549985,1.54229,0.424362,-0.021548,9.37775,
TD35,0.060052,18.0157,5,0.428571,0.217581,0.550044,1.54543,0.426603,-0.01465,9.28285,
TD36,0.060006,17.8295,5,0.428571,0.215332,0.549957,1.5485,0.428797,-0.008183,9.18978,
TD37,0.059941,17.4757,5,0.428571,0.21106,0.550021,1.55436,0.432813,0.00408,9.0128,
TD38,0.060061,17.3077,5,0.428571,0.20903,0.550028,1.55721,0.434783,0.009755,8.92879,
TD39,0.059929,21.2766,6.42857,1.42857,0.531915,0.55,0.500286,0.290071,-0.352128,10.7564,
TD40,0.060089,20.4848,6.42857,1.42857,0.51212,0.550017,0.539286,0.301809,-0.342779,10.3779,
TD41,0.059947,19.7628,6.42857,1.42857,0.494071,0.550066,0.573571,0.312912,-0.332016,10.0323,
TD42,0.060134,19.09,6.42857,1.42857,0.477251,0.550111,0.603929,0.323258,-0.320713,9.70888,
TD43,0.060018,18.4672,6.42857,1.42857,0.461681,0.550015,0.631071,0.333333,-0.30871,9.40874,
TD44,0.059928,17.8891,6.42857,1.42857,0.447227,0.550089,0.655357,0.342576,-0.296959,9.12999,
TD45,0.060133,17.3461,6.42857,1.42857,0.433651,0.54987,0.677357,0.351258,-0.285343,8.86701,
TD46,0.060093,19.9203,6.42857,1.42857,0.498008,0.550133,0.566214,0.310425,-0.334329,10.1076,
TD47,0.059982,17.9051,6.42857,1.42857,0.447628,0.549985,0.654643,0.342286,-0.297523,9.13757,
TD48,0.060081,21.0794,6.42857,0.428571,0.254582,0.575017,1.23657,0.442125,-0.496436,10.7342,
TD49,0.059963,20.7449,6.42857,0.428571,0.250543,0.575079,1.24243,0.446133,-0.484216,10.5711,
TD50,0.060013,20.4209,6.42857,0.428571,0.246629,0.574975,1.24807,0.449852,-0.472378,10.413,
TD51,0.060081,20.1134,6.42857,0.428571,0.242915,0.575061,1.25343,0.453441,-0.461377,10.2628,
TD52,0.059987,19.8149,6.42857,0.428571,0.239311,0.574984,1.25857,0.456924,-0.450542,10.1171,
TD53,0.060072,19.5314,6.42857,0.428571,0.235886,0.574933,1.2635,0.460135,-0.440478,9.97846,
TD54,0.059957,18.9966,6.42857,0.428571,0.229428,0.574946,1.27279,0.466351,-0.421536,9.71673,
TD55,0.060066,18.7443,6.42857,0.428571,0.226381,0.575008,1.27714,0.469212,-0.412617,9.59327,
TD56,0.060042,18.5042,6.42857,0.428571,0.22348,0.575089,1.28136,0.472139,-0.404201,9.47557,
TD57,0.060018,18.2701,6.42857,0.428571,0.220653,0.575022,1.28543,0.474698,-0.396146,9.36084,
TD58,0.060012,18.0471,6.42857,0.428571,0.21796,0.574978,1.28936,0.477332,-0.388405,9.25153,
TD59,0.060006,17.8295,6.42857,0.428571,0.215332,0.574935,1.29314,0.479759,-0.38085,9.1447,
TD60,0.060036,17.4218,6.42857,0.428571,0.210408,0.574975,1.30029,0.48436,-0.366952,8.94459,
TD61,0.060064,17.2285,6.42857,0.428571,0.208073,0.574976,1.30371,0.486614,-0.360383,8.84963,
TD62,0.059962,17.0417,6.42857,0.428571,0.205818,0.575055,1.307,0.488749,-0.354144,8.75782,
TD63,0.059982,17.9051,5,0.4285,0.298418,0.624888,1.39143,0.387347,0.034318,9.2647,
TD64,0.059929,21.2766,6.42857,1.42857,0.35461,0.625177,0.853714,0.406738,-0.243972,10.9135,
TD65,0.060089,20.4848,6.42857,1.42857,0.341413,0.624787,0.865929,0.417207,-0.224309,10.523,
TD66,0.059947,19.7628,6.42857,1.42857,0.329381,0.625165,0.876929,0.426877,-0.206192,10.167,
TD67,0.060134,19.09,6.42857,1.42857,0.318167,0.624881,0.886929,0.435889,-0.189946,9.83455,
TD68,0.060018,18.4672,6.42857,1.42857,0.307787,0.625115,0.896143,0.444137,-0.174823,9.52662,
TD69,0.059928,17.8891,6.42857,1.42857,0.298151,0.625224,0.904643,0.451998,-0.161002,9.24031,
TD70,0.060133,17.3461,6.42857,1.42857,0.289101,0.625036,0.9125,0.459092,-0.148309,8.97138,
TD71,0.05993,19.1266,5,1.42857,0.318776,0.624801,1.08064,0.407714,0.087663,9.87217,
