Data_description,
Input5,Base Distance For Rake Angle Measurement,
Input7,Wheel Diameter,
Input8,Profile Angle,
Input11,Rake Angle,
Input12,Circular Land,
Input13,Small Core Diameter,
Output0,Wheel Setting Angle,
Output1,Minimum Wheel Width,
Output2,Wheel Displacement,
Output3,Distance Between Axes,
Data begin,Input5,Input7,Input8,Input11,Input12,Input13,Output0,Output1,Output2,Output3,
TD0,0.060135,52.228764,3.000000,0.200000,0.462574,0.600084,0.724267,0.228764,-5.385198,22.907065,
TD1,0.059839,49.879518,3.000000,0.200000,0.441767,0.600000,0.786367,0.249799,-5.390763,22.181526,
TD2,0.059977,47.750865,3.000000,0.200000,0.422914,0.599769,0.834333,0.267205,-5.299500,21.482507,
TD3,0.060125,45.813353,3.000000,0.200000,0.405754,0.599779,0.872367,0.282921,-5.157875,20.814091,
TD4,0.059929,44.042553,3.000000,0.200000,0.390071,0.600000,0.903167,0.297163,-4.991489,20.177660,
TD5,0.060089,42.403551,3.000000,0.200000,0.375555,0.599863,0.928533,0.310003,-4.813930,19.567088,
TD6,0.059947,40.909091,3.000000,0.200000,0.362319,0.600132,0.949733,0.322134,-4.637022,18.995718,
TD7,0.060134,39.516386,3.000000,0.200000,0.349984,0.600064,0.967700,0.333121,-4.462934,18.449570,
TD8,0.060018,38.227147,3.000000,0.200000,0.338566,0.600185,0.983100,0.343490,-4.295783,17.934134,
TD9,0.059928,37.030411,3.000000,0.200000,0.327967,0.600179,0.996400,0.353011,-4.137150,17.447525,
TD10,0.060133,35.906331,3.000000,0.200000,0.318011,0.599884,1.008033,0.361954,-3.985834,16.982943,
TD11,0.060062,34.858266,3.000000,0.200000,0.308729,0.600056,1.018300,0.370194,-3.843671,16.544766,
TD12,0.060027,33.888131,3.000000,0.200000,0.300136,0.600000,1.027400,0.378445,-3.711323,16.135061,
TD13,0.059995,32.970534,3.000000,0.200000,0.292010,0.599947,1.035500,0.385718,-3.586408,15.743563,
TD14,0.059964,32.101318,3.000000,0.200000,0.284311,0.599897,1.042800,0.392608,-3.468080,15.369088,
TD15,0.059965,31.292517,3.000000,0.200000,0.277148,0.599899,1.049400,0.399345,-3.358277,15.018644,
TD16,0.059966,30.523470,3.000000,0.200000,0.270337,0.599902,1.055400,0.405505,-3.254608,14.682723,
TD17,0.059995,29.805616,3.000000,0.200000,0.263979,0.599952,1.060867,0.411567,-3.157907,14.367651,
